"","Fecha","1","3","6","12"
"V184",2003-09-25,NA,NA,NA,NA
"V185",2003-09-26,NA,NA,NA,NA
"V186",2003-09-29,NA,NA,NA,NA
"V187",2003-09-30,NA,NA,NA,NA
"V188",2003-10-01,NA,NA,NA,NA
"V189",2003-10-02,NA,NA,NA,NA
"V190",2003-10-03,NA,NA,NA,NA
"V191",2003-10-06,NA,NA,NA,NA
"V192",2003-10-07,NA,NA,NA,NA
"V193",2003-10-08,NA,NA,NA,NA
"V194",2003-10-09,NA,NA,NA,NA
"V195",2003-10-10,NA,NA,NA,NA
"V196",2003-10-14,NA,NA,NA,NA
"V197",2003-10-15,NA,NA,NA,NA
"V198",2003-10-16,NA,NA,NA,NA
"V199",2003-10-17,NA,NA,NA,NA
"V200",2003-10-20,NA,NA,NA,NA
"V201",2003-10-21,NA,NA,NA,NA
"V202",2003-10-22,NA,NA,NA,NA
"V203",2003-10-23,NA,NA,NA,NA
"V204",2003-10-24,NA,NA,NA,NA
"V205",2003-10-27,NA,NA,NA,NA
"V206",2003-10-28,NA,NA,NA,NA
"V207",2003-10-29,NA,NA,NA,NA
"V208",2003-10-30,NA,NA,NA,NA
"V209",2003-10-31,NA,NA,NA,NA
"V210",2003-11-03,NA,NA,NA,NA
"V211",2003-11-04,NA,NA,NA,NA
"V212",2003-11-05,NA,NA,NA,NA
"V213",2003-11-07,NA,NA,NA,NA
"V214",2003-11-10,NA,NA,NA,NA
"V215",2003-11-11,NA,NA,NA,NA
"V216",2003-11-12,NA,NA,NA,NA
"V217",2003-11-13,NA,NA,NA,NA
"V218",2003-11-14,NA,NA,NA,NA
"V219",2003-11-17,NA,NA,NA,NA
"V220",2003-11-18,NA,NA,NA,NA
"V221",2003-11-19,NA,NA,NA,NA
"V222",2003-11-20,NA,NA,NA,NA
"V223",2003-11-21,NA,NA,NA,NA
"V224",2003-11-24,NA,NA,NA,NA
"V225",2003-11-25,NA,NA,NA,NA
"V226",2003-11-26,NA,NA,NA,NA
"V227",2003-11-27,NA,NA,NA,NA
"V228",2003-11-28,NA,NA,NA,NA
"V229",2003-12-01,NA,NA,NA,NA
"V230",2003-12-02,NA,NA,NA,NA
"V231",2003-12-03,NA,NA,NA,NA
"V232",2003-12-04,NA,NA,NA,NA
"V233",2003-12-05,NA,NA,NA,NA
"V234",2003-12-09,NA,NA,NA,NA
"V235",2003-12-10,NA,NA,NA,NA
"V236",2003-12-11,NA,NA,NA,NA
"V237",2003-12-12,NA,NA,NA,NA
"V238",2003-12-15,NA,NA,NA,NA
"V239",2003-12-16,NA,NA,NA,NA
"V240",2003-12-17,NA,NA,NA,NA
"V241",2003-12-18,NA,NA,NA,NA
"V242",2003-12-19,NA,NA,NA,NA
"V243",2003-12-22,NA,NA,NA,NA
"V244",2003-12-23,NA,NA,NA,NA
"V245",2003-12-24,NA,NA,NA,NA
"V246",2003-12-26,NA,NA,NA,NA
"V247",2003-12-29,NA,NA,NA,NA
"V248",2003-12-30,NA,NA,NA,NA
"V249",2003-12-31,NA,NA,NA,NA
"V250",2004-01-02,NA,NA,NA,NA
"V251",2004-01-05,NA,NA,NA,NA
"V252",2004-01-06,NA,NA,NA,NA
"V253",2004-01-07,NA,NA,NA,NA
"V254",2004-01-08,NA,NA,NA,NA
"V255",2004-01-09,NA,NA,NA,NA
"V256",2004-01-12,NA,NA,NA,NA
"V257",2004-01-13,NA,NA,NA,NA
"V258",2004-01-14,NA,NA,NA,NA
"V259",2004-01-15,NA,NA,NA,NA
"V260",2004-01-16,NA,NA,NA,NA
"V261",2004-01-19,NA,NA,NA,NA
"V262",2004-01-20,NA,NA,NA,NA
"V263",2004-01-21,NA,NA,NA,NA
"V264",2004-01-22,NA,NA,NA,NA
"V265",2004-01-23,NA,NA,NA,NA
"V266",2004-01-26,NA,NA,NA,NA
"V267",2004-01-27,NA,NA,NA,NA
"V268",2004-01-28,NA,NA,NA,NA
"V269",2004-01-29,NA,NA,NA,NA
"V270",2004-01-30,NA,NA,NA,NA
"V271",2004-02-02,NA,NA,NA,NA
"V272",2004-02-03,NA,NA,NA,NA
"V273",2004-02-04,NA,NA,NA,NA
"V274",2004-02-05,NA,NA,NA,NA
"V275",2004-02-06,NA,NA,NA,NA
"V276",2004-02-09,NA,NA,NA,NA
"V277",2004-02-10,NA,NA,NA,NA
"V278",2004-02-11,NA,NA,NA,NA
"V279",2004-02-12,NA,NA,NA,NA
"V280",2004-02-13,NA,NA,NA,NA
"V281",2004-02-16,NA,NA,NA,NA
"V282",2004-02-17,NA,NA,NA,NA
"V283",2004-02-18,NA,NA,NA,NA
"V284",2004-02-19,NA,NA,NA,NA
"V285",2004-02-20,NA,NA,NA,NA
"V286",2004-02-23,NA,NA,NA,NA
"V287",2004-02-24,NA,NA,NA,NA
"V288",2004-02-25,NA,NA,NA,NA
"V289",2004-02-26,NA,NA,NA,NA
"V290",2004-02-27,NA,NA,NA,NA
"V291",2004-03-01,NA,NA,NA,NA
"V292",2004-03-02,NA,NA,NA,NA
"V293",2004-03-03,NA,NA,NA,NA
"V294",2004-03-04,NA,NA,NA,NA
"V295",2004-03-05,NA,NA,NA,NA
"V296",2004-03-08,NA,NA,NA,NA
"V297",2004-03-09,NA,NA,NA,NA
"V298",2004-03-10,NA,NA,NA,NA
"V299",2004-03-11,NA,NA,NA,NA
"V300",2004-03-12,NA,NA,NA,NA
"V301",2004-03-15,NA,NA,NA,NA
"V302",2004-03-16,NA,NA,NA,NA
"V303",2004-03-17,NA,NA,NA,NA
"V304",2004-03-18,NA,NA,NA,NA
"V305",2004-03-19,NA,NA,NA,NA
"V306",2004-03-22,NA,NA,NA,NA
"V307",2004-03-23,NA,NA,NA,NA
"V308",2004-03-24,NA,NA,NA,NA
"V309",2004-03-25,NA,NA,NA,NA
"V310",2004-03-26,NA,NA,NA,NA
"V311",2004-03-29,NA,NA,NA,NA
"V312",2004-03-30,NA,NA,NA,NA
"V313",2004-03-31,NA,NA,NA,NA
"V314",2004-04-01,NA,NA,NA,NA
"V315",2004-04-02,NA,NA,NA,NA
"V316",2004-04-06,NA,NA,NA,NA
"V317",2004-04-07,NA,NA,NA,NA
"V318",2004-04-12,NA,NA,NA,NA
"V319",2004-04-13,NA,NA,NA,NA
"V320",2004-04-14,NA,NA,NA,NA
"V321",2004-04-15,NA,NA,NA,NA
"V322",2004-04-16,NA,NA,NA,NA
"V323",2004-04-19,NA,NA,NA,NA
"V324",2004-04-20,NA,NA,NA,NA
"V325",2004-04-21,NA,NA,NA,NA
"V326",2004-04-22,NA,NA,NA,NA
"V327",2004-04-23,NA,NA,NA,NA
"V328",2004-04-26,NA,NA,NA,NA
"V329",2004-04-27,NA,NA,NA,NA
"V330",2004-04-28,NA,NA,NA,NA
"V331",2004-04-29,NA,NA,NA,NA
"V332",2004-04-30,NA,NA,NA,NA
"V333",2004-05-03,NA,NA,NA,NA
"V334",2004-05-04,NA,NA,NA,NA
"V335",2004-05-05,NA,NA,NA,NA
"V336",2004-05-06,NA,NA,NA,NA
"V337",2004-05-07,NA,NA,NA,NA
"V338",2004-05-10,NA,NA,NA,NA
"V339",2004-05-11,NA,NA,NA,NA
"V340",2004-05-12,NA,NA,NA,NA
"V341",2004-05-13,NA,NA,NA,NA
"V342",2004-05-14,NA,NA,NA,NA
"V343",2004-05-17,NA,NA,NA,NA
"V344",2004-05-18,NA,NA,NA,NA
"V345",2004-05-19,NA,NA,NA,NA
"V346",2004-05-20,NA,NA,NA,NA
"V347",2004-05-21,NA,NA,NA,NA
"V348",2004-05-24,NA,NA,NA,NA
"V349",2004-05-26,NA,NA,NA,NA
"V350",2004-05-27,NA,NA,NA,NA
"V351",2004-05-28,NA,NA,NA,NA
"V352",2004-05-31,NA,NA,NA,NA
"V353",2004-06-01,NA,NA,NA,NA
"V354",2004-06-02,NA,NA,NA,NA
"V355",2004-06-03,NA,NA,NA,NA
"V356",2004-06-04,NA,NA,NA,NA
"V357",2004-06-07,NA,NA,NA,NA
"V358",2004-06-08,NA,NA,NA,NA
"V359",2004-06-09,NA,NA,NA,NA
"V360",2004-06-10,NA,NA,NA,NA
"V361",2004-06-11,NA,NA,NA,NA
"V362",2004-06-14,NA,NA,NA,NA
"V363",2004-06-15,NA,NA,NA,NA
"V364",2004-06-16,NA,NA,NA,NA
"V365",2004-06-17,NA,NA,NA,NA
"V366",2004-06-18,NA,NA,NA,NA
"V367",2004-06-22,NA,NA,NA,NA
"V368",2004-06-23,NA,NA,NA,NA
"V369",2004-06-24,NA,NA,NA,NA
"V370",2004-06-25,NA,NA,NA,NA
"V371",2004-06-28,NA,NA,NA,NA
"V372",2004-06-29,NA,NA,NA,NA
"V373",2004-06-30,NA,NA,NA,NA
"V374",2004-07-01,NA,NA,NA,NA
"V375",2004-07-02,NA,NA,NA,NA
"V376",2004-07-05,NA,NA,NA,NA
"V377",2004-07-06,NA,NA,NA,NA
"V378",2004-07-07,NA,NA,NA,NA
"V379",2004-07-08,NA,NA,NA,NA
"V380",2004-07-12,NA,NA,NA,NA
"V381",2004-07-13,NA,NA,NA,NA
"V382",2004-07-14,NA,NA,NA,NA
"V383",2004-07-15,NA,NA,NA,NA
"V384",2004-07-16,NA,NA,NA,NA
"V385",2004-07-19,NA,NA,NA,NA
"V386",2004-07-20,NA,NA,NA,NA
"V387",2004-07-21,NA,NA,NA,NA
"V388",2004-07-22,NA,NA,NA,NA
"V389",2004-07-23,NA,NA,NA,NA
"V390",2004-07-26,NA,NA,NA,NA
"V391",2004-07-27,NA,NA,NA,NA
"V392",2004-07-28,NA,NA,NA,NA
"V393",2004-07-29,NA,NA,NA,NA
"V394",2004-07-30,NA,NA,NA,NA
"V395",2004-08-02,NA,NA,NA,NA
"V396",2004-08-03,NA,NA,NA,NA
"V397",2004-08-04,NA,NA,NA,NA
"V398",2004-08-05,NA,NA,NA,NA
"V399",2004-08-06,NA,NA,NA,NA
"V400",2004-08-09,NA,NA,NA,NA
"V401",2004-08-10,NA,NA,NA,NA
"V402",2004-08-11,NA,NA,NA,NA
"V403",2004-08-12,NA,NA,NA,NA
"V404",2004-08-13,NA,NA,NA,NA
"V405",2004-08-17,NA,NA,NA,NA
"V406",2004-08-18,NA,NA,NA,NA
"V407",2004-08-19,NA,NA,NA,NA
"V408",2004-08-20,NA,NA,NA,NA
