"","Fecha","1","3","6","12"
"V531",2005-02-11,,,,
"V532",2005-02-14,,,,
"V533",2005-02-15,,,,
"V534",2005-02-16,,,,
"V535",2005-02-17,,,,
"V536",2005-02-18,,,,
"V537",2005-02-21,,,,
"V538",2005-02-22,,,,
"V539",2005-02-23,,,,
"V540",2005-02-24,,,,
"V541",2005-02-25,,,,
"V542",2005-02-28,,,,
"V543",2005-03-01,,,,
"V544",2005-03-02,,,,
"V545",2005-03-03,,,,
"V546",2005-03-04,,,,
"V547",2005-03-07,,,,
"V548",2005-03-08,,,,
"V549",2005-03-09,,,,
"V550",2005-03-10,,,,
"V551",2005-03-11,,,,
"V552",2005-03-14,,,,
"V553",2005-03-15,,,,
"V554",2005-03-16,,,,
"V555",2005-03-17,,,,
"V556",2005-03-18,,,,
"V557",2005-03-21,,,,
"V558",2005-03-22,,,,
"V559",2005-03-23,,,,
"V560",2005-03-28,,,,
"V561",2005-03-29,,,,
"V562",2005-03-30,,,,
"V563",2005-03-31,,,,
"V564",2005-04-01,,,,
"V565",2005-04-04,,,,
"V566",2005-04-05,,,,
"V567",2005-04-06,,,,
"V568",2005-04-07,,,,
"V569",2005-04-08,,,,
"V570",2005-04-11,,,,
"V571",2005-04-12,,,,
"V572",2005-04-13,,,,
"V573",2005-04-14,,,,
"V574",2005-04-15,,,,
"V575",2005-04-18,,,,
"V576",2005-04-19,,,,
"V577",2005-04-20,,,,
"V578",2005-04-21,,,,
"V579",2005-04-22,,,,
"V580",2005-04-25,,,,
"V581",2005-04-26,,,,
"V582",2005-04-27,,,,
"V583",2005-04-28,,,,
"V584",2005-04-29,,,,
"V585",2005-05-02,,,,
"V586",2005-05-03,,,,
"V587",2005-05-04,,,,
"V588",2005-05-05,,,,
"V589",2005-05-06,,,,
"V590",2005-05-09,,,,
"V591",2005-05-10,,,,
"V592",2005-05-11,,,,
"V593",2005-05-12,,,,
"V594",2005-05-13,,,,
"V595",2005-05-16,,,,
"V596",2005-05-17,,,,
"V597",2005-05-18,,,,
"V598",2005-05-19,,,,
"V599",2005-05-20,,,,
"V600",2005-05-23,,,,
"V601",2005-05-24,,,,
"V602",2005-05-26,,,,
"V603",2005-05-27,,,,
"V604",2005-05-30,,,,
"V605",2005-05-31,,,,
"V606",2005-06-01,,,,
"V607",2005-06-02,,,,
"V608",2005-06-03,,,,
"V609",2005-06-06,,,,
"V610",2005-06-07,,,,
"V611",2005-06-08,,,,
"V612",2005-06-09,,,,
"V613",2005-06-10,,,,
"V614",2005-06-13,,,,
"V615",2005-06-14,,,,
"V616",2005-06-15,,,,
"V617",2005-06-16,,,,
"V618",2005-06-17,,,,
"V619",2005-06-21,,,,
"V620",2005-06-22,,,,
"V621",2005-06-23,,,,
"V622",2005-06-24,,,,
"V623",2005-06-27,,,,
"V624",2005-06-28,,,,
"V625",2005-06-29,,,,
"V626",2005-06-30,,,,
"V627",2005-07-01,,,,
"V628",2005-07-04,,,,
"V629",2005-07-05,,,,
"V630",2005-07-06,,,,
"V631",2005-07-07,,,,
"V632",2005-07-08,,,,
"V633",2005-07-11,,,,
"V634",2005-07-12,,,,
"V635",2005-07-13,,,,
"V636",2005-07-14,,,,
"V637",2005-07-15,,,,
"V638",2005-07-18,,,,
"V639",2005-07-19,,,,
"V640",2005-07-20,,,,
"V641",2005-07-21,,,,
"V642",2005-07-22,,,,
"V643",2005-07-25,,,,
"V644",2005-07-26,,,,
"V645",2005-07-27,,,,
"V646",2005-07-28,,,,
"V647",2005-07-29,,,,
"V648",2005-08-01,,,,
"V649",2005-08-02,,,,3.7
"V650",2005-08-03,,,,
"V651",2005-08-04,,,,
"V652",2005-08-05,,,,
"V653",2005-08-08,,,,
"V654",2005-08-09,,,,
"V655",2005-08-10,,,,
"V656",2005-08-11,,,,
"V657",2005-08-12,,,,
"V658",2005-08-16,,,,
"V659",2005-08-17,,,,
"V660",2005-08-18,,,,
"V661",2005-08-19,,,,
"V662",2005-08-22,,,,
"V663",2005-08-23,,,,
"V664",2005-08-24,,,,
"V665",2005-08-25,,,,
"V666",2005-08-26,,,,
"V667",2005-08-29,,,,
"V668",2005-08-30,,,,
"V669",2005-08-31,,,,
"V670",2005-09-01,,,,
"V671",2005-09-02,,,,
"V672",2005-09-05,,,,
"V673",2005-09-06,,,,
"V674",2005-09-07,,,,
"V675",2005-09-08,,,,
"V676",2005-09-09,,,,
"V677",2005-09-12,,,,
"V678",2005-09-13,,,,
"V679",2005-09-14,,,,
"V680",2005-09-15,,,,
"V681",2005-09-16,,,,
"V682",2005-09-19,,,,
"V683",2005-09-20,,,,
"V684",2005-09-21,,,,
"V685",2005-09-22,,,,
"V686",2005-09-23,,,,
"V687",2005-09-26,,,,
"V688",2005-09-27,,,,
"V689",2005-09-28,,,,
"V690",2005-09-29,,,,
"V691",2005-09-30,,,,
"V692",2005-10-03,,,,
"V693",2005-10-04,,,,
"V694",2005-10-05,,,,
"V695",2005-10-06,,,,
"V696",2005-10-07,,,,
"V697",2005-10-11,,,4.1266,
"V698",2005-10-12,,,,
"V699",2005-10-13,,,,
"V700",2005-10-14,,,,
"V701",2005-10-17,,,,
"V702",2005-10-18,,,,
"V703",2005-10-19,,,,
"V704",2005-10-20,,,,
"V705",2005-10-21,,,,
"V706",2005-10-24,,,,
"V707",2005-10-25,,,,
"V708",2005-10-26,,,,
"V709",2005-10-27,,,,
"V710",2005-10-28,,,,
"V711",2005-10-31,,,,
"V712",2005-11-01,,,,
"V713",2005-11-02,,,,
"V714",2005-11-03,,,,
"V715",2005-11-04,,,,
"V716",2005-11-07,,,,
"V717",2005-11-08,,,,
"V718",2005-11-09,,,,
"V719",2005-11-10,,,,
"V720",2005-11-11,,,,
"V721",2005-11-14,,,,
"V722",2005-11-15,,,,
"V723",2005-11-16,,,,
"V724",2005-11-17,,,,
"V725",2005-11-18,,,,
"V726",2005-11-21,,,,
"V727",2005-11-22,,,,
"V728",2005-11-23,,,,
"V729",2005-11-24,,,,
"V730",2005-11-25,,,,
"V731",2005-11-28,,,,
"V732",2005-11-29,,,,
"V733",2005-11-30,,,,
"V734",2005-12-01,,,,
"V735",2005-12-02,,,,
"V736",2005-12-05,,,,
"V737",2005-12-06,,,,
"V738",2005-12-07,,,,
"V739",2005-12-09,,,,
"V740",2005-12-12,,,,
"V741",2005-12-13,,,,
"V742",2005-12-14,,,,
"V743",2005-12-15,,,,
"V744",2005-12-16,,,,
"V745",2005-12-19,,,,
"V746",2005-12-20,,,,
"V747",2005-12-21,,,,
